,Race,Age,EaseofUse,Effectiveness,Satisfaction,Sex,UsefulCount,Review,Sideeffect
9548,0,6,0.0,0.0,1.0,0,0.08571428571428572,0.0,5
9557,1,6,1.0,0.5,3.0,1,0.02857142857142857,1.0,3
9563,3,8,1.0,0.0,1.0,0,0.09285714285714286,0.0,5
9566,2,8,1.0,0.75,3.0,1,0.02857142857142857,0.0,3
9569,3,4,0.25,0.5,1.0,1,0.10714285714285714,0.0,5
9575,2,6,1.0,1.0,5.0,0,0.02142857142857143,1.0,1
9578,0,7,0.5,0.75,1.0,0,0.09999999999999999,0.0,5
9581,3,6,0.75,0.75,1.0,0,0.08571428571428572,0.0,5
9584,1,7,1.0,0.75,1.0,0,0.07857142857142857,0.0,5
9587,1,5,1.0,1.0,5.0,0,0.06428571428571428,1.0,1
9590,2,7,1.0,0.5,3.0,0,0.049999999999999996,1.0,3
9596,2,5,0.25,0.25,2.0,0,0.05714285714285714,0.0,4
9602,3,8,0.5,0.5,3.0,1,0.2714285714285714,1.0,3
9605,1,6,0.5,0.25,1.0,0,0.05714285714285714,0.0,5
9614,0,7,0.75,0.0,1.0,0,0.06428571428571428,0.0,5
9617,2,8,0.0,0.0,1.0,0,0.08571428571428572,0.0,5
9620,2,4,1.0,0.0,1.0,0,0.07142857142857142,0.0,5
9626,0,6,1.0,1.0,3.0,1,0.05714285714285714,1.0,3
9629,0,6,0.0,0.0,1.0,0,0.07142857142857142,0.0,5
9635,2,6,0.75,1.0,5.0,1,0.0,1.0,1
9644,2,6,1.0,0.5,1.0,0,0.09285714285714286,0.0,5
9647,1,3,1.0,1.0,3.0,0,0.11428571428571428,1.0,3
9650,0,6,0.0,0.0,1.0,1,0.11428571428571428,0.0,5
9653,2,4,0.0,0.0,1.0,1,0.25,0.0,5
9674,3,7,1.0,1.0,1.0,0,0.12142857142857143,0.0,5
9677,2,5,1.0,1.0,2.0,0,0.06428571428571428,0.0,4
9680,1,5,1.0,1.0,5.0,1,0.04285714285714286,1.0,1
9689,3,5,1.0,0.0,1.0,1,0.11428571428571428,0.0,5
9695,0,4,0.75,0.75,1.0,0,0.06428571428571428,0.0,5
9698,3,6,1.0,0.0,1.0,1,0.049999999999999996,0.0,5
9701,0,6,0.75,0.75,4.0,1,0.02857142857142857,1.0,2
9704,1,4,1.0,1.0,5.0,1,0.09999999999999999,1.0,1
9707,3,7,1.0,0.25,1.0,0,0.04285714285714286,0.0,5
9710,2,6,0.5,0.5,3.0,0,0.04285714285714286,0.0,3
9713,2,6,1.0,0.0,1.0,0,0.02142857142857143,0.0,5
9716,3,4,1.0,0.0,1.0,0,0.09285714285714286,0.0,5
9722,2,7,1.0,1.0,1.0,0,0.049999999999999996,0.0,5
9728,0,6,1.0,0.25,1.0,0,0.014285714285714285,0.0,5
9731,3,8,1.0,0.0,1.0,1,0.049999999999999996,0.0,5
9734,0,7,1.0,1.0,5.0,1,0.04285714285714286,1.0,1
9740,3,6,0.75,0.75,3.0,0,0.049999999999999996,0.0,3
9743,1,6,1.0,1.0,5.0,0,0.09285714285714286,1.0,1
9746,2,5,1.0,1.0,5.0,1,0.049999999999999996,1.0,1
9749,1,7,1.0,1.0,5.0,0,0.049999999999999996,1.0,1
9752,3,6,1.0,0.75,2.0,0,0.06428571428571428,0.0,4
9758,3,4,0.0,0.0,1.0,0,0.05714285714285714,0.0,5
9764,2,6,0.25,0.25,1.0,1,0.07142857142857142,0.0,5
9767,2,4,1.0,0.5,3.0,0,0.03571428571428571,1.0,3
9773,3,5,0.75,0.5,1.0,0,0.05714285714285714,0.0,5
9776,3,5,1.0,0.75,3.0,1,0.007142857142857143,0.0,3
9779,2,3,0.5,0.5,1.0,0,0.07857142857142857,0.0,5
9782,0,4,0.5,0.0,1.0,0,0.15714285714285714,0.0,5
9785,1,6,0.75,0.25,1.0,0,0.07142857142857142,0.0,5
9788,1,6,1.0,1.0,5.0,0,0.07857142857142857,1.0,1
9794,3,6,1.0,0.75,4.0,0,0.049999999999999996,1.0,2
9797,2,4,0.0,0.0,1.0,0,0.06428571428571428,0.0,5
9800,2,8,0.75,0.5,2.0,1,0.02857142857142857,0.0,4
9803,2,8,1.0,0.25,3.0,0,0.03571428571428571,0.0,3
9806,3,7,0.75,0.5,2.0,0,0.049999999999999996,0.0,4
9809,1,4,0.75,0.75,2.0,0,0.05714285714285714,0.0,4
9812,1,6,1.0,1.0,3.0,0,0.014285714285714285,0.0,3
9818,2,6,0.5,0.5,3.0,1,0.0,0.0,3
9821,2,6,0.75,0.0,1.0,1,0.07857142857142857,0.0,5
9823,2,5,1.0,0.25,1.0,0,0.2571428571428571,0.0,5
9825,2,6,1.0,1.0,5.0,0,0.06428571428571428,1.0,1
9829,2,6,0.0,0.0,1.0,0,0.02142857142857143,0.0,5
9831,3,6,0.25,0.75,2.0,0,0.09999999999999999,0.0,4
9833,0,6,1.0,1.0,1.0,0,0.08571428571428572,0.0,5
9835,2,5,0.5,0.0,1.0,1,0.014285714285714285,0.0,5
9837,3,5,1.0,0.5,2.0,0,0.11428571428571428,0.0,4
9839,0,3,0.75,0.5,3.0,0,0.03571428571428571,0.0,3
9841,2,7,0.75,0.5,2.0,1,0.07857142857142857,0.0,4
9843,0,5,0.0,0.0,1.0,0,0.02857142857142857,0.0,5
9845,3,6,0.75,0.75,3.0,0,0.12142857142857143,0.0,3
9847,2,5,1.0,1.0,5.0,0,0.049999999999999996,1.0,1
9849,1,6,0.25,0.5,2.0,0,0.03571428571428571,0.0,4
9853,1,7,0.75,0.75,1.0,1,0.08571428571428572,0.0,5
9859,1,6,0.0,0.0,1.0,0,0.049999999999999996,0.0,5
9863,3,7,1.0,1.0,5.0,1,0.014285714285714285,1.0,1
9865,3,5,1.0,0.75,4.0,1,0.03571428571428571,1.0,2
9867,3,6,1.0,1.0,3.0,1,0.07142857142857142,0.0,3
9869,2,3,0.5,0.25,3.0,1,0.007142857142857143,0.0,3
9875,2,7,0.0,0.5,1.0,0,0.06428571428571428,0.0,5
9877,1,4,1.0,0.5,3.0,0,0.014285714285714285,0.0,3
9881,3,6,0.5,0.0,1.0,0,0.007142857142857143,0.0,5
9883,2,6,1.0,0.5,3.0,0,0.02857142857142857,0.0,3
9885,0,8,1.0,1.0,3.0,0,0.02857142857142857,0.0,3
9889,3,6,0.75,0.5,2.0,1,0.06428571428571428,0.0,4
9891,2,5,0.75,0.5,1.0,0,0.049999999999999996,0.0,5
9893,2,6,0.5,0.75,3.0,0,0.07857142857142857,1.0,3
9895,1,7,0.75,0.0,1.0,0,0.08571428571428572,0.0,5
9897,2,6,1.0,0.5,4.0,1,0.0,1.0,2
9899,3,6,0.0,0.0,1.0,1,0.04285714285714286,0.0,5
9901,3,7,0.75,0.5,1.0,0,0.07857142857142857,0.0,5
9903,2,8,1.0,0.5,3.0,0,0.007142857142857143,0.0,3
9905,2,7,0.5,0.5,2.0,0,0.12857142857142856,0.0,4
9913,3,6,0.0,0.0,1.0,1,0.07857142857142857,0.0,5
9917,3,7,0.5,0.5,3.0,0,0.02142857142857143,0.0,3
9921,3,7,1.0,0.75,4.0,1,0.007142857142857143,1.0,2
9923,3,8,0.5,0.0,1.0,1,0.049999999999999996,0.0,5
9925,1,5,0.0,0.25,1.0,0,0.04285714285714286,0.0,5
9927,1,7,1.0,0.0,1.0,0,0.03571428571428571,0.0,5
9929,0,5,1.0,1.0,4.0,0,0.02857142857142857,1.0,2
9931,0,4,0.5,0.75,2.0,0,0.05714285714285714,0.0,4
9933,3,6,0.75,1.0,4.0,1,0.02857142857142857,1.0,2
9935,2,5,0.75,0.25,3.0,0,0.014285714285714285,0.0,3
9937,2,7,0.0,0.0,1.0,1,0.0,0.0,5
9939,3,7,0.75,0.75,4.0,0,0.02142857142857143,1.0,2
9943,3,6,0.0,0.0,1.0,0,0.07142857142857142,0.0,5
9945,0,5,1.0,1.0,5.0,1,0.02142857142857143,1.0,1
9947,0,6,1.0,0.75,4.0,0,0.02857142857142857,1.0,2
9951,3,7,0.5,0.5,3.0,1,0.03571428571428571,0.0,3
9953,3,6,1.0,0.75,5.0,1,0.049999999999999996,1.0,1
9955,3,5,0.5,0.75,1.0,0,0.12142857142857143,0.0,5
9957,1,5,1.0,1.0,5.0,0,0.02857142857142857,1.0,1
9959,2,6,0.0,0.0,1.0,0,0.08571428571428572,0.0,5
9963,0,6,0.25,0.25,1.0,1,0.02857142857142857,0.0,5
9965,1,4,0.75,0.75,4.0,1,0.03571428571428571,1.0,2
9967,2,6,1.0,0.5,3.0,0,0.06428571428571428,0.0,3
9969,1,5,0.75,0.75,1.0,0,0.22142857142857142,0.0,5
9971,3,5,1.0,0.75,3.0,0,0.014285714285714285,0.0,3
9973,3,5,1.0,1.0,5.0,0,0.02142857142857143,1.0,1
9975,2,6,0.25,0.25,1.0,1,0.014285714285714285,0.0,5
9977,3,7,0.25,0.0,2.0,0,0.0,0.0,4
9979,2,7,0.75,0.75,1.0,0,0.07142857142857142,0.0,5
9981,1,7,0.75,0.25,1.0,0,0.06428571428571428,0.0,5
9983,3,7,0.5,0.5,1.0,0,0.049999999999999996,0.0,5
9987,0,4,0.75,0.5,3.0,1,0.02142857142857143,1.0,3
9989,1,6,0.75,0.5,2.0,0,0.10714285714285714,0.0,4
9991,0,3,0.25,0.5,1.0,0,0.08571428571428572,0.0,5
9995,3,3,1.0,1.0,4.0,0,0.06428571428571428,1.0,2
9997,2,4,1.0,0.75,4.0,1,0.007142857142857143,1.0,2
9999,0,4,1.0,1.0,5.0,0,0.07142857142857142,1.0,1
10001,3,5,0.25,0.25,1.0,0,0.05714285714285714,0.0,5
10005,0,6,0.75,0.5,2.0,1,0.04285714285714286,0.0,4
10007,2,5,0.0,0.5,1.0,0,0.014285714285714285,0.0,5
10009,1,6,0.5,0.0,1.0,1,0.10714285714285714,0.0,5
10011,0,5,1.0,1.0,5.0,0,0.049999999999999996,1.0,1
10017,3,5,0.75,0.75,4.0,0,0.1357142857142857,1.0,2
10019,3,6,0.75,0.5,2.0,0,0.014285714285714285,0.0,4
10025,1,6,0.75,0.75,1.0,0,0.12142857142857143,0.0,5
10027,2,6,0.75,0.5,2.0,0,0.07857142857142857,0.0,4
10029,2,6,1.0,0.75,1.0,0,0.11428571428571428,0.0,5
10031,1,6,1.0,1.0,5.0,0,0.014285714285714285,1.0,1
10033,0,6,0.5,0.5,3.0,1,0.0,1.0,3
10035,1,6,1.0,0.0,1.0,0,0.014285714285714285,0.0,5
10037,2,6,0.5,0.5,1.0,0,0.09999999999999999,0.0,5
10039,1,4,0.5,0.5,1.0,0,0.11428571428571428,0.0,5
10041,1,5,0.5,0.5,3.0,0,0.09285714285714286,0.0,3
10045,1,8,1.0,1.0,3.0,1,0.06428571428571428,1.0,3
10047,3,7,1.0,1.0,5.0,1,0.049999999999999996,1.0,1
10049,3,8,1.0,1.0,5.0,1,0.014285714285714285,1.0,1
10051,0,7,0.5,0.0,1.0,0,0.02857142857142857,0.0,5
10053,2,8,0.5,0.0,1.0,1,0.03571428571428571,0.0,5
10055,0,8,0.75,0.75,3.0,1,0.03571428571428571,1.0,3
10059,3,7,1.0,1.0,5.0,1,0.02142857142857143,1.0,1
10061,2,6,1.0,0.75,1.0,0,0.12857142857142856,0.0,5
10063,2,4,0.75,0.75,4.0,1,0.03571428571428571,1.0,2
10065,3,8,0.5,0.5,3.0,0,0.03571428571428571,1.0,3
10067,3,4,1.0,0.5,4.0,1,0.049999999999999996,1.0,2
10069,1,5,1.0,1.0,5.0,0,0.03571428571428571,1.0,1
10071,2,5,1.0,0.5,3.0,0,0.07857142857142857,0.0,3
10073,2,4,0.75,0.75,3.0,0,0.04285714285714286,0.0,3
10075,0,5,1.0,0.0,1.0,0,0.014285714285714285,0.0,5
10077,2,5,0.5,0.0,1.0,0,0.06428571428571428,0.0,5
10079,2,7,1.0,0.0,1.0,0,0.12857142857142856,0.0,5
10081,0,4,1.0,0.75,2.0,0,0.07857142857142857,0.0,4
10083,2,5,1.0,0.25,2.0,0,0.007142857142857143,0.0,4
10085,0,5,0.0,0.0,1.0,1,0.03571428571428571,0.0,5
10089,2,7,0.5,0.5,3.0,1,0.007142857142857143,1.0,3
10091,1,7,1.0,1.0,5.0,1,0.014285714285714285,1.0,1
10093,1,6,0.75,1.0,2.0,1,0.10714285714285714,0.0,4
10095,2,7,0.0,0.0,1.0,1,0.02142857142857143,0.0,5
10097,0,7,0.25,0.25,2.0,1,0.02142857142857143,0.0,4
10099,3,6,0.25,0.25,1.0,0,0.02142857142857143,0.0,5
10101,2,6,0.75,0.75,1.0,1,0.04285714285714286,0.0,5
10103,0,5,1.0,0.75,3.0,0,0.06428571428571428,0.0,3
10105,2,6,0.75,0.75,4.0,1,0.049999999999999996,1.0,2
10107,3,3,0.75,0.75,4.0,1,0.02142857142857143,1.0,2
10109,2,6,1.0,0.0,1.0,0,0.02857142857142857,0.0,5
10111,0,4,0.75,0.5,2.0,0,0.06428571428571428,0.0,4
10113,2,7,1.0,0.5,1.0,0,0.049999999999999996,0.0,5
10115,1,5,1.0,1.0,5.0,1,0.049999999999999996,1.0,1
10117,1,4,1.0,1.0,1.0,0,0.07857142857142857,0.0,5
10119,0,7,1.0,1.0,5.0,1,0.014285714285714285,1.0,1
10123,3,5,0.25,1.0,3.0,1,0.04285714285714286,0.0,3
10125,2,7,0.5,0.5,2.0,1,0.014285714285714285,0.0,4
10129,2,4,1.0,1.0,5.0,0,0.03571428571428571,1.0,1
10131,0,6,1.0,1.0,5.0,1,0.02142857142857143,1.0,1
10133,1,6,0.5,0.5,3.0,0,0.049999999999999996,1.0,3
10135,0,3,1.0,0.5,1.0,0,0.12142857142857143,0.0,5
10137,3,4,1.0,0.0,1.0,1,0.014285714285714285,0.0,5
10139,2,4,0.75,0.5,3.0,0,0.11428571428571428,0.0,3
10141,0,6,0.75,0.5,3.0,1,0.0,0.0,3
10143,3,5,0.75,0.25,1.0,0,0.09999999999999999,0.0,5
10145,1,6,0.75,0.5,3.0,0,0.04285714285714286,0.0,3
10149,3,6,0.5,0.5,1.0,1,0.12142857142857143,0.0,5
10155,3,7,1.0,0.5,3.0,1,0.0,1.0,3
10157,3,5,0.75,0.0,1.0,1,0.02142857142857143,0.0,5
10159,2,7,1.0,1.0,5.0,0,0.02142857142857143,1.0,1
10161,0,4,0.0,0.75,2.0,1,0.05714285714285714,0.0,4
10165,3,5,1.0,0.0,1.0,0,0.07857142857142857,0.0,5
10167,3,3,1.0,0.0,1.0,0,0.02857142857142857,0.0,5
10171,1,5,0.75,0.75,4.0,1,0.02857142857142857,1.0,2
10175,1,5,1.0,1.0,5.0,0,0.06428571428571428,1.0,1
10177,1,4,0.75,0.75,1.0,0,0.07142857142857142,0.0,5
10179,2,6,0.75,0.75,4.0,0,0.07857142857142857,1.0,2
10181,3,5,1.0,1.0,3.0,0,0.08571428571428572,1.0,3
10183,3,5,1.0,1.0,2.0,0,0.02142857142857143,0.0,4
10185,3,6,0.75,0.25,2.0,0,0.02857142857142857,0.0,4
10187,0,5,1.0,1.0,5.0,0,0.02857142857142857,1.0,1
10189,2,5,1.0,1.0,5.0,0,0.04285714285714286,1.0,1
10191,2,7,1.0,0.5,1.0,1,0.03571428571428571,0.0,5
10193,3,8,0.75,0.75,3.0,1,0.014285714285714285,0.0,3
10195,1,3,0.75,0.75,3.0,0,0.02857142857142857,0.0,3
10197,0,4,1.0,0.5,1.0,0,0.03571428571428571,0.0,5
10201,2,6,1.0,0.5,1.0,0,0.08571428571428572,0.0,5
10203,3,5,0.5,0.25,1.0,0,0.06428571428571428,0.0,5
10205,2,5,1.0,1.0,1.0,0,0.05714285714285714,0.0,5
10207,1,5,0.0,0.5,1.0,0,0.04285714285714286,0.0,5
10211,1,5,0.75,0.0,1.0,1,0.049999999999999996,0.0,5
10213,3,6,0.0,0.75,1.0,1,0.08571428571428572,0.0,5
10215,2,4,1.0,1.0,5.0,0,0.02857142857142857,1.0,1
10219,0,5,0.0,0.25,1.0,0,0.04285714285714286,0.0,5
10223,3,5,1.0,1.0,5.0,0,0.007142857142857143,1.0,1
10225,0,6,0.75,0.25,1.0,0,0.06428571428571428,0.0,5
10227,2,1,1.0,0.75,4.0,0,0.02857142857142857,1.0,2
10229,2,6,0.0,0.0,1.0,0,0.03571428571428571,0.0,5
10231,2,3,0.0,0.25,1.0,0,0.03571428571428571,0.0,5
10233,2,5,0.0,0.5,1.0,1,0.007142857142857143,0.0,5
10235,0,8,0.5,0.0,1.0,1,0.014285714285714285,0.0,5
10237,2,6,0.25,0.25,1.0,0,0.02142857142857143,0.0,5
10239,2,6,0.0,0.75,3.0,0,0.0,1.0,3
10241,1,6,0.75,0.25,1.0,0,0.07142857142857142,0.0,5
10243,1,6,0.0,0.0,1.0,0,0.06428571428571428,0.0,5
10245,3,8,0.0,0.0,1.0,0,0.049999999999999996,0.0,5
10247,0,6,1.0,0.5,3.0,0,0.08571428571428572,0.0,3
10249,3,6,0.0,0.0,1.0,0,0.10714285714285714,0.0,5
10251,1,5,1.0,0.5,2.0,0,0.02142857142857143,0.0,4
10253,2,6,0.75,0.25,1.0,0,0.03571428571428571,0.0,5
10255,0,2,1.0,0.75,5.0,1,0.02142857142857143,1.0,1
10257,3,5,1.0,1.0,1.0,1,0.02142857142857143,0.0,5
10259,2,6,1.0,1.0,5.0,1,0.007142857142857143,1.0,1
10261,0,4,1.0,1.0,2.0,0,0.05714285714285714,0.0,4
10263,1,5,0.75,0.75,4.0,0,0.02857142857142857,1.0,2
10265,1,8,0.75,0.5,3.0,0,0.007142857142857143,0.0,3
10267,1,5,0.75,0.5,3.0,0,0.014285714285714285,0.0,3
10269,3,6,1.0,1.0,5.0,1,0.03571428571428571,1.0,1
10273,2,6,1.0,0.75,4.0,0,0.007142857142857143,1.0,2
10275,3,7,1.0,0.5,1.0,1,0.049999999999999996,0.0,5
10279,0,6,0.75,0.75,4.0,1,0.0,1.0,2
10283,2,4,1.0,0.25,3.0,0,0.049999999999999996,0.0,3
10285,3,8,0.75,0.75,4.0,1,0.014285714285714285,1.0,2
10289,3,6,0.75,0.5,3.0,1,0.04285714285714286,1.0,3
10291,0,4,0.0,0.0,1.0,0,0.05714285714285714,0.0,5
10295,3,6,1.0,0.0,1.0,0,0.014285714285714285,0.0,5
10297,3,6,0.0,0.0,1.0,0,0.07142857142857142,0.0,5
10299,0,7,0.0,0.0,1.0,0,0.02857142857142857,0.0,5
10301,1,7,0.5,1.0,2.0,1,0.03571428571428571,0.0,4
10303,2,7,1.0,1.0,5.0,0,0.02142857142857143,1.0,1
10305,0,6,0.75,0.5,1.0,0,0.14285714285714285,0.0,5
10309,3,6,0.5,0.5,1.0,1,0.07142857142857142,0.0,5
10311,2,5,0.25,0.25,2.0,1,0.014285714285714285,0.0,4
10313,2,3,1.0,0.0,1.0,0,0.03571428571428571,0.0,5
10319,3,6,0.75,0.25,1.0,1,0.02142857142857143,0.0,5
10321,2,4,0.75,0.75,2.0,0,0.05714285714285714,0.0,4
10323,3,6,1.0,0.75,4.0,0,0.007142857142857143,1.0,2
10325,1,4,0.25,0.25,1.0,0,0.12142857142857143,0.0,5
10327,0,3,1.0,1.0,3.0,0,0.014285714285714285,0.0,3
10329,3,6,1.0,0.75,1.0,0,0.04285714285714286,0.0,5
10331,3,7,1.0,0.75,5.0,0,0.02142857142857143,1.0,1
10333,3,8,0.0,0.25,3.0,0,0.007142857142857143,1.0,3
10335,2,5,0.75,0.5,1.0,1,0.03571428571428571,0.0,5
10337,3,3,1.0,0.25,1.0,1,0.02857142857142857,0.0,5
10339,2,6,1.0,1.0,5.0,1,0.049999999999999996,1.0,1
10341,2,5,0.75,0.75,2.0,0,0.05714285714285714,0.0,4
10343,3,6,1.0,0.75,4.0,1,0.014285714285714285,1.0,2
10347,1,4,0.5,0.5,3.0,1,0.08571428571428572,0.0,3
10349,2,5,0.25,1.0,2.0,0,0.06428571428571428,0.0,4
10351,0,6,0.5,0.75,2.0,1,0.02142857142857143,0.0,4
10353,3,6,1.0,0.75,2.0,0,0.07142857142857142,0.0,4
10355,1,2,0.0,0.0,1.0,1,0.049999999999999996,0.0,5
10361,2,4,0.5,0.5,1.0,0,0.06428571428571428,0.0,5
10363,1,6,0.0,0.0,1.0,0,0.04285714285714286,0.0,5
10365,3,6,0.75,0.75,3.0,1,0.049999999999999996,1.0,3
10367,3,6,1.0,0.75,1.0,1,0.10714285714285714,0.0,5
10369,1,7,1.0,0.5,3.0,1,0.08571428571428572,0.0,3
10371,3,5,0.0,0.0,1.0,0,0.17857142857142858,0.0,5
10373,3,7,0.75,0.75,4.0,1,0.03571428571428571,1.0,2
10375,3,6,1.0,0.75,4.0,1,0.007142857142857143,1.0,2
10377,0,3,1.0,1.0,3.0,1,0.05714285714285714,1.0,3
10381,1,5,0.0,0.0,1.0,1,0.02142857142857143,0.0,5
10383,2,6,0.75,0.5,1.0,1,0.09999999999999999,0.0,5
10385,3,6,0.75,0.0,1.0,0,0.11428571428571428,0.0,5
10387,2,6,0.0,0.0,1.0,1,0.15714285714285714,0.0,5
10389,3,5,1.0,0.75,5.0,1,0.08571428571428572,1.0,1
10391,3,5,1.0,0.0,1.0,0,0.07142857142857142,0.0,5
10393,3,4,1.0,0.0,1.0,0,0.11428571428571428,0.0,5
10395,1,4,0.5,0.5,1.0,0,0.04285714285714286,0.0,5
10397,0,6,0.5,0.5,2.0,0,0.11428571428571428,0.0,4
10401,2,5,1.0,0.75,2.0,1,0.14285714285714285,0.0,4
10403,2,8,0.5,0.5,3.0,1,0.02857142857142857,1.0,3
10405,1,6,1.0,0.5,4.0,0,0.04285714285714286,1.0,2
10407,3,6,0.0,0.0,1.0,1,0.08571428571428572,0.0,5
10409,1,5,1.0,0.5,1.0,0,0.21428571428571427,0.0,5
10415,2,4,1.0,1.0,5.0,0,0.09999999999999999,1.0,1
10417,1,8,1.0,1.0,2.0,1,0.07857142857142857,0.0,4
10419,2,6,0.0,0.0,1.0,0,0.06428571428571428,0.0,5
10421,2,7,0.0,0.0,1.0,0,0.1357142857142857,0.0,5
10425,1,4,0.5,0.25,1.0,1,0.08571428571428572,0.0,5
10427,2,3,0.5,0.75,3.0,1,0.11428571428571428,1.0,3
10429,2,5,0.75,0.75,3.0,0,0.08571428571428572,0.0,3
10431,2,6,1.0,0.0,1.0,1,0.12142857142857143,0.0,5
10435,2,6,0.75,0.75,2.0,1,0.03571428571428571,0.0,4
10437,3,8,1.0,0.25,1.0,1,0.11428571428571428,0.0,5
10439,0,4,0.75,0.75,2.0,0,0.12857142857142856,0.0,4
10443,3,7,1.0,1.0,5.0,1,0.04285714285714286,1.0,1
10445,3,4,1.0,1.0,5.0,0,0.02857142857142857,1.0,1
10447,2,5,1.0,1.0,4.0,1,0.05714285714285714,1.0,2
10449,1,4,0.5,0.75,4.0,0,0.07857142857142857,1.0,2
10453,2,4,0.75,0.75,4.0,0,0.09285714285714286,1.0,2
10457,0,5,0.5,0.25,1.0,0,0.09285714285714286,0.0,5
10459,2,4,1.0,1.0,5.0,1,0.07857142857142857,1.0,1
10461,1,6,1.0,1.0,4.0,1,0.05714285714285714,1.0,2
10463,1,3,1.0,0.75,3.0,0,0.12142857142857143,0.0,3
10465,2,5,0.0,0.5,1.0,0,0.11428571428571428,0.0,5
10467,1,8,1.0,0.75,1.0,0,0.07142857142857142,0.0,5
10469,2,7,0.0,0.75,1.0,0,0.09999999999999999,0.0,5
10471,2,6,0.75,0.75,3.0,0,0.07142857142857142,0.0,3
10473,2,7,1.0,1.0,5.0,1,0.05714285714285714,1.0,1
10475,1,2,0.75,0.0,1.0,1,0.02142857142857143,0.0,5
10477,2,7,1.0,1.0,5.0,1,0.05714285714285714,1.0,1
10479,2,6,0.75,0.5,2.0,1,0.09999999999999999,0.0,4
10482,1,5,1.0,0.75,3.0,0,0.049999999999999996,0.0,3
10483,0,6,1.0,0.5,3.0,0,0.09999999999999999,0.0,3
10484,2,6,0.0,0.0,1.0,0,0.08571428571428572,0.0,5
10485,2,6,0.0,0.75,1.0,0,0.12142857142857143,0.0,5
10486,3,7,1.0,0.75,4.0,1,0.05714285714285714,1.0,2
10487,3,7,1.0,0.0,1.0,1,0.03571428571428571,0.0,5
10489,1,6,0.75,0.5,3.0,0,0.03571428571428571,1.0,3
10490,1,7,1.0,1.0,5.0,0,0.05714285714285714,1.0,1
